,text,class_id,website
10,Visit http://mediamatters.org,0,mediamatters4america
11,"Accuracy in Media analyst Roger Aronoff appears on CTV to discuss NBC's airing of the Virginia Tech killer's videos and ""manifesto.""",1,Accuracy in Media
12,"Jonathan Miller of Conservative Review joins The Political Insider to discuss Christine Blasey Ford's allegations against Brett Kavanaugh, as well as other current topics.",1,The Political Insider
13,"Candace Owens and Katie Pavlich join 'Life, Liberty & Levin' to discuss their backgrounds and factors that led them to conservatism.

FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. The number one network in cable, FNC has been the most watched television news channel for more than 16 years and according to a Suffolk University/USA Today poll, is the most trusted television news source in the country. Owned by 21st Century Fox, FNC is available in more than 90 million homes and dominates the cable news landscape, routinely notching the top ten programs in the genre.
 
Subscribe to Fox News!  https://bit.ly/2vBUvAS
Watch more Fox News Video: http://video.foxnews.com
Watch Fox News Channel Live: http://www.foxnewsgo.com/
 
Watch full episodes of your favorite shows
The Five: http://video.foxnews.com/playlist/longform-the-five/
Special Report with Bret Baier: http://video.foxnews.com/playlist/longform-special-report/
The Story with Martha Maccallum: http://video.foxnews.com/playlist/longform-the-story-with-martha-maccallum/
Tucker Carlson Tonight http://video.foxnews.com/playlist/longform-tucker-carlson-tonight/
Hannity http://video.foxnews.com/playlist/longform-hannity/
The Ingraham Angle: http://video.foxnews.com/playlist/longform-the-ingraham-angle/
Fox News @ Night: http://video.foxnews.com/playlist/longform-fox-news-night/
 
Follow Fox News on Facebook: https://www.facebook.com/FoxNews/
Follow Fox News on Twitter: https://twitter.com/FoxNews/
Follow Fox News on Instagram: https://www.instagram.com/foxnews/",1,Fox News
14,"For all the latest news and commentary, visit https://www.ConservativeReview.com ; CR on FB: https://goo.gl/A6Y7ZZ
• The nationwide anti-Trump protests are designed to disrupt Donald Trump’s policy agenda to protect Democrat politicians

• Democrats fear Trump will create jobs and help urban communities causing union workers and blacks to abandon the Democrat party

• Without union workers and blacks, Democrats will face huge obstacles in future elections especially in the swing states

• This is why George Soros, Al Sharpton, and Van Jones are playing their roles to undermine Trump’s presidency

• Democrats will do anything for power — including undermining a president even before he is sworn into office",1,Conservative Review
15,"A comedic stop motion animation from Oscar-nominated Cordell Barker in which a boy fantasizes about possessing godlike powers he'd use to impress his crush and undermine his bullies.

Still haven’t subscribed to The New Yorker on YouTube ►► 
http://bit.ly/newyorkeryoutubesub
 


“If I Was God” | The Screening Room | The New Yorker",0,The New Yorker
16,"In a rare bipartisan moment the mainstream media will NEVER show you, elected Democrat Vernon Jones broke with his party to call out the lies the Left is pushing about police and praise Trump. WATCH Press Sec. put Jim Acosta in his place: https://www.youtube.com/watch?v=vC1Sw8CCTQ0

► Click HERE to subscribe to BlazeTV on Youtube! https://bit.ly/2KJHuwu

►Click HERE to join BlazeTV! https://get.blazetv.com/

► JOIN our NEWSLETTER - https://theblaze.com/newsletters

Connect with us on Social Media: 
http://twitter.com/BlazeTV
http://instagram.com/TheBlazeTV
http://facebook.com/BlazeMedia",1,BlazeTV
17,"From Ahmed Mohamed to so-called ""no-go zones,"" here's how the media talked about Islam in 2015.",0,mediamatters4america
18,"Impeachment no longer serves its purpose and the Georgia criminal probe into Trump's phone call is nothing more than a publicity stunt, Bill O'Reilly explains.

""Impeachment is now done... Everybody can be impeached if the other party controls Congress.""",1,The First
19,"Candy Carson told ""The View"" why she urged Ben Carson to run for president.",1,Conservative Review
20,"Politichicks contributor Ava Aston takes us inside the mind of an Obama Voter in 2012. 
PolitiChicks.com began as a 2012 weekly web series with an evolving/changing variety of anchors.  They covered politics and current events, meant to inspire, inform and entertain. It's the Conservative answer to 'The View'.  Today it is a respected go-to website in New Media, led by owners Ann-Marie Murrell and Morgan Brittany.  Follow PolitiChicks.com daily

Follow us:
http://www.politichicks.com
http://www.facebook.com/politichicks
http://www.twitter.com/ThePolitiChicks

Shop:
www.politichicks.com",1,PolitiChicks
21,"Latest news: Early #voting turnout data from six key #battleground states suggests a surge for the #Republican party as President Donald Trump ramps up campaign rally appearances across the country ahead of the Nov. 6 midterms.

Far more Republican early voters turned out than Democrat voters in Georgia, Indiana, Montana, Texas, Tennessee, Florida, and Arizona, according to data provided by TargetSmart.

Article by Bowen Xiao:
GOP Surges in Key Races, Blunting Prospects of a ‘Blue Wave’
https://www.theepochtimes.com/gop-surges-in-key-races-blunting-prospects-of-a-blue-wave_2698121.html",1,The Epoch Times
22,"Talk radio host Rush Limbaugh sounds off on 'Hannity' on Democrats continuing to attack and impugn the president after the release of the Mueller report. #Hannity #FoxNews 
 
FOX News operates the FOX News Channel (FNC), FOX Business Network (FBN), FOX News Radio, FOX News Headlines 24/7, FOXNews.com and the direct-to-consumer streaming service, FOX Nation. FOX News also produces FOX News Sunday on FOX Broadcasting Company and FOX News Edge. A top five-cable network, FNC has been the most watched news channel in the country for 17 consecutive years. According to a 2018 Research Intelligencer study by Brand Keys, FOX News ranks as the second most trusted television brand in the country. Additionally, a Suffolk University/USA Today survey states Fox News is the most trusted source for television news or commentary in the country, while a 2017 Gallup/Knight Foundation survey found that among Americans who could name an objective news source, FOX News is the top-cited outlet. FNC is available in nearly 90 million homes and dominates the cable news landscape while routinely notching the top ten programs in the genre.

Subscribe to Fox News!  https://bit.ly/2vBUvAS
Watch more Fox News Video: http://video.foxnews.com
Watch Fox News Channel Live: http://www.foxnewsgo.com/

Watch full episodes of your favorite shows
The Five: http://video.foxnews.com/playlist/longform-the-five/
Special Report with Bret Baier: http://video.foxnews.com/playlist/longform-special-report/
The Story with Martha Maccallum: http://video.foxnews.com/playlist/longform-the-story-with-martha-maccallum/
Tucker Carlson Tonight: http://video.foxnews.com/playlist/longform-tucker-carlson-tonight/
Hannity:  http://video.foxnews.com/playlist/longform-hannity/
The Ingraham Angle: http://video.foxnews.com/playlist/longform-the-ingraham-angle/
Fox News @ Night: http://video.foxnews.com/playlist/longform-fox-news-night/

Follow Fox News on Facebook: https://www.facebook.com/FoxNews/
Follow Fox News on Twitter: https://twitter.com/FoxNews/
Follow Fox News on Instagram: https://www.instagram.com/foxnews/",1,Fox News
23,"As speculation runs rampant about Bowe Bergdahl on Fox News, Shepard Smith alone stands as the voice of reason.",0,mediamatters4america
24,"Project Veritas has released the second installment in an undercover video series unmasking the deep state. This video features a Department of Justice paralegal Allison Hrabar reportedly using government owned software and computers to push a socialist agenda. Also featured is Jessica Schubel, the former Chief of Staff for the Centers for Medicare and Medicaid Services  during the last Obama administration.

Both Schubel and Hrabar make admissions revealing that federal employees are using their positions in the government to resist or slow the Trump administration's policies, some breaking laws in the process.

Featured in this video are:

Richard Manning of https://www.firetheswamp.com
Bill Marshall of https://www.judicialwatch.org

Newsletter: https://www.projectveritas.com/sign-u... 
Website: http://projectveritas.com/ 
Facebook: https://www.facebook.com/ProjectVeritas 
Twitter: https://twitter.com/Project_Veritas 
Buy James O’Keefe’s book: http://www.americanpravdabook.com",1,Project Veritas
25,"JOIN US AT http://WWW.ENDVOTERFRAUDNOW.COM

**UPDATE: DNC EMPLOYEE STEPHANIE CABALLERO FIRED - http://bit.ly/VVyqDA **

Our undercover reporters ask OFA (Organizing for America, President Obama's Grassroots arm of his re-election campaign) staffers for advice on double voting. In each circumstance the staffers are complicit in the illegal implications of voting twice.

Music: Anthony Dini- Worlds Collide 
iTunes Link- http://bit.ly/LLTIfr

Stephanie Caballero
Regional Field Director
Houston OFA HQ
4402 Almeda Rd.
Houston, TX 77004

Reporter: And there's no way they'd be able to cross reference the ballots?
Obama Campaign: If you voted twice?
Reporter: Yeah.
Obama Campaign: I don't know this. That's not my expertise.

Reporter: Yea I don't want to get in any trouble but like I said if no one's gonna know
Reporter: I don't have a problem with it.
Reporter: Yea, so anyway - But -
Obama Campaign: Oh my God this is so funny. It's cool though!

Reporter: But I was gonna see as far as all the registering for Florida - 
Obama Campaign: Mhm
Reporter: Where do I get the forms to do that?
Reporter: Or not registering but voting in Florida for the absentee -
Obama Campaign: So what you'll have to do is you're going to call in to Florida.
Reporter: Okay.
Obama Campaign: And call - Let me see.
Obama Campaign: Are you going to do what I think you are going to do?
Reporter: Well I mean if no one's gonna know -
Obama Campaign: Laughter
Obama Campaign: You're so hilarious!

Obama Campaign: Come up with like - If anyone checks say ""I don't know"".",1,Project Veritas
26,"http://www.rightwingwatch.org/content/sarah-palins-plan-defeat-isis-stop-embracing-radical-islamists-and-stop-them
Right Wing Watch reports on the extreme rhetoric and activities of key right-wing figures and organizations by showing their views in their own words. In this video, Sarah Palin says she would defeat ISIS by defeating ISIS.",0,RWW Blog
27,"TAC and co-host The Wethersfield Institute hosted this wide-ranging talk about ensuring Notre Dame will be rebuild in its original Gothic grandeur and not fall prey to the trends of modern architecture. The event, which was presented in conjunction with TAC's New Urbanism project, took place at the Church of Saint Agnes, Manhattan.

Speakers: Rod Dreher, senior editor at TAC; Duncan Stroik, Notre Dame University School of Architecture; Michael Brendan Dougherty, senior writer at National Review. Moderator: Lewis McCrary, executive editor, TAC.

Check out more of our New Urbanism coverage at TAC: https://www.theamericanconservative.com/web-categories/new-urbanism/",1,The American Conservative
28,"Rabbi Jonathan Cahn speaks at Celebrate America in Washington D.C. on July 10, 2014.",1,WorldNetDaily
29,"MRCTV's Dan Joseph went to a college campus to ask students how they would define the terms "" conservative"" and ""progressive.""",1,MRCTV
30,"Wait, hold the phone: you mean that London mayor Sadiq Khan’s perfect, all-inclusive, gun-free bastion of uber-European progressivism isn’t working out? 

Who'd have thought...",1,MRCTV
31,"From defending flag burning as “patriotic” to justifying anti-Trump violence as deserved, the largely liberal panel at ABC’s The View frequently proved this year that the only “views” that were acceptable came from the radical left. We’ve broken down the worst of the worst liberal outbursts from the 2016 season in this cringeworthy video.

Subscribe to MRCTV's YouTube channel: https://www.youtube.com/channel/UCpugeZUO4F8H7YC_H_EDirA/?sub_confirmation=1
Visit MRCTV's website: https://www.mrctv.org/
Find MRCTV on Facebook: https://www.facebook.com/mrctv
Follow MRCTV on Twitter: https://twitter.com/mrctv",1,MRCTV
32,,0,Daily Kos
33,"America’s Fastest-Growing Newspaper is Now Available on Any Device:   🔵  http://ept.ms/EpochNews

Decoupling From CCP: US and Allies Would Cut China's Growth

As U.S.-China relations become increasingly tense, the chances of a U.S.-China decoupling has drawn increasing attention. Some economists believe that if the United States joins hands with its allies in decoupling from the CCP, it will cause a huge blow to China’s economy, dropping its GDP growth to 1.6%. If so, all kinds of social problems that were once placated by the economic growth of China will become more pressing.

Bloomberg economists Tom Orlik and Bjorn Van Roye wrote on September 3 that such a decoupling would have a much larger impact on China than on the U.S. as China gains more from cross-border exchanges of ideas and innovation.

U.S., Australia, Japan, and India Formalize Arc of Democracy in Indo-Pacific

Australia, America, Japan, and India could formalize their quadrilateral strategic security ties at an in-person ministerial meeting in Delhi in the coming weeks.

On Aug. 31, in an online seminar at the annual U.S.-India Strategic Partnership Forum, the Deputy Secretary of the U.S. State Department Stephen Biegun said the Indo-Pacific was lacking strong multilateral structures.

He said: “It is a reality that the Indo-Pacific region is actually lacking in strong multilateral structures. They don’t have anything of the fortitude of NATO or the European Union.”

“The strongest institutions in Asia oftentimes are not inclusive enough, and so … there is certainly an invitation there at some point to formalize a structure like this.”


CCP’s Facial Recognition Technology Collects and Sells Personal Information

Insiders of the industry indicated that the serious problem of the leak of facial recognition data in China lies in the fact that not only are the facial photos leaked, citizens’ sensitive information such as ID card numbers, bank card numbers, and cellphone numbers are also leaked. And the matching photo can be used to simulate a real person’s behavior like nodding, shaking, blinking, and talking. Individuals whose personal information was stolen are at risk for the rest of their lives because their names would be registered in most software for online money lending and fraudulent activities. 


Ethnic Mongolians Petition Against Beijing’s Language Suppression

Tens of thousands of ethnic Mongolians have signed a petition in protest against Beijing’s new push to promote the country’s official language Mandarin in Inner Mongolia, a move that some have described as “cultural genocide.”

Last week, widespread anger began brewing in the northern Chinese region of Inner Mongolia after authorities announced they would introduce Mandarin-only teaching to local schools and replace Mongolian-language textbooks with standardized Chinese versions for core courses that range from history, politics, to literature.

The new policy has sparked fear among ethnic Mongols in the region that it would gradually wipe out their culture and endanger their very identity.

Over the past week, throngs of students, teachers, and parents have gathered at local school grounds, singing and chanting slogans in their native tongue while refusing to go back to the classroom, videos circulating on the internet show.
-----
Buy the book ""How the Specter of Communism Is Ruling Our World"" go to
https://epochshop.com/
https://epochshop.com/collections/frontpage/products/new-how-the-specter-of-communism-is-ruling-our-world-3-books-shipping-after-july-1

#CCP #U.S. #Economy
Sign the Petition to Investigate, Condemn, and Reject the Chinese Communist Party👉 https://rejectccp.com

------------------
SUBSCRIBE OUR CHANNEL TODAY: 
🔔https://bit.ly/EpochSubs

WATCH MORE ON YOUTUBE
🔵[Exclusive investigative report] The first documentary movie on the origin of CCP virus
👉https://bit.ly/OriginOfVirus

🔵[Special Report] Manipulating America: The Chinese Communist Playbook
👉 https://bit.ly/ManipulatingAmerica

🔵New Documentary Exposing ‘the CCP Method’ | Three-step Method
👉https://bit.ly/TheCCPMethod

🔵Special Report Exploring the Pandemic’s Wall Street Connection
👉https://bit.ly/PandemicWallStreet

🔵 Investigative Report: The Coverup of the Century
👉 https://bit.ly/CoverupOfCentury

------------------
Get the latest updates as well as exclusive reporting and first-hand videos about the CCP virus from The Epoch Times website.
▶️ https://www.theepochtimes.com/coronavirus
------------------
SUBSCRIBE TO THE EPOCH TIMES
Print subscription (delivery inside the U.S only):
https://theepochtimes.f2vr2q.net/q9Bob",1,The Epoch Times
34,"On November 15, 2018, Sen. Rand Paul (R-Ky.) delivered the keynote address at The American Conservative's annual foreign policy conference, ""American Allies & Interests: Assessing Trump's Foreign Policy Midterm,"" in the Hart Senate Office Building on Capitol Hill. 
The senator covered a wide range of topics, including the U.S. involvement in the war in Yemen, the Iran nuclear deal, relations with Russia, and the media's ""Trump Derangement Syndrome.""",1,The American Conservative
35,"In a landmark decision, a jury found the chemical company Monsanto responsible for a man’s terminal cancer. The case focused on a popular weed killer used by millions of Americans. But Monsanto’s epic loss, may have been sealed by inside documents exposing a disturbing use of slanted science. Lisa Fletcher has the story.
---------
Full Measure is a weekly Sunday news program focusing on investigative, original and accountability reporting. The host is Sharyl Attkisson, five-time Emmy Award winner and recipient of the Edward R. Murrow award for investigative reporting. She is backed by a team of award winning journalists.

Each week, we have a cover story that explores untouchable topics in a fearless way including: immigration, terrorism, government waste, national security and whistleblower reports on government and corporate abuse and misdeeds.

Full Measure is broadcast to 43 million households in 79 markets on 162 Sinclair Broadcast Group stations, including ABC, CBS, NBC, FOX, CW, MyTV, Univision and Telemundo affiliates. It also streams live Sunday mornings at 9:30 a.m. ET.

Read more about us at: http://fullmeasure.news/about
Find out where to watch us at: http://fullmeasure.news/about
Like us on Facebook: https://www.facebook.com/FullMeasureNews
Follow us on Twitter: https://twitter.com/FullMeasureNews",1,Full Measure with Sharyl Attkisson
36,"Did Joe Biden use the power of his office to enrich his family? Bill O'Reilly says the answer seems to be ""Yes.""

He's joined by Real Clear Investigations' Mark Hemingway to find out the truth about the former VP's involvement and the media's complicity in keeping the truth from the public.",1,The First
37,"60 Minutes never expected Trump to release an unedited version of their interview, but when he did this morning he exposed their nonexistent coverage of the Hunter Biden laptop story. WATCH Trump SHOCK crowd at rally, exposing Kamala & Biden on giant screens ⬇️ https://www.youtube.com/watch?v=ib89rGUnlK4

► Subscribe to BlazeTV YouTube! https://bit.ly/2KJHuwu

► Join BlazeTV! https://get.blazetv.com/

► Sign up for our NEWSLETTER: https://theblaze.com/newsletters

Connect with us on Social Media: 
http://twitter.com/BlazeTV
http://instagram.com/TheBlazeTV
http://facebook.com/BlazeMedia",1,BlazeTV
38,"This is TV Time Capsule, our chance to revisit moments that defined a genre, era, or generation. In each episode, we’ll take a critical look at a show, theme, or entertainer to relive the absurdity of pre-streaming programming.

In the early aughts, Tyra Banks was a very busy woman building her own media empire. Riding the success of America’s Next Top Model, her next move was, of course, to launch a daytime talk show. Enter the iconic, entertaining, and often erratic The Tyra Banks Show.

The crown jewel of The Tyra Banks Show were its bizarre undercover segments: Banks would film entire episodes “incognito”—as much as one can with a camera crew in tow—on “the streets,” sometimes as a person experiencing homelessness or as an exotic dancer.

-Joyzel Acevedo

Read more: 
https://themuse.jezebel.com/the-tyra-banks-show-tried-very-hard-1844405205

Jezebel: Gender, culture, and politics. With teeth. http://jezebel.com",0,Jezebel
39,"Police officers in this country have been denigrated unfairly in the past year. It's time to recognize the sacrifice and commitment of the brave men and women, who risk their lives each day to protect our communities.",1,National Review
40,"For all the latest news and commentary, visit https://www.ConservativeReview.com ; CR on FB: https://goo.gl/A6Y7ZZ
When Mao Zedong seized power in China, he tried to turn farmers into steelworkers overnight. In the end, 45 million people starved, a famine which got so bad that some even resorted to cannibalism. Socialism kills in the most horrific ways imaginable.",1,Conservative Review
41,'Nobody Is Beyond Redemption': Why Country Star Trace Adkins Signed Up for 'I Can Only Imagine',1,CBN News
42,,0,Daily Kos
43,,1,Accuracy in Media
44,"Weeraphon Sukudom, 25, is being hailed a hero after he saved the life of a tiny puppy found unconscious in a flooded garage on a Thai army base. Tune in to see the surprise ending!",1,LifeZette
45,"Congressman Andy Biggs of Arizona comments on what he is witnessing in his state in regards to presidential election results, as well as where he thinks investigations into Hunter Biden should go from here. - with Newsmax TV's Chris Salcedo

Watch Newsmax TV on Directv 349, Xfinity 1115, Dish 216, Spectrum (see channels), Cox, Optimum, U-Verse 1120, FiOS 615, Suddenlink, CenturyLink 1209, Mediacom 277, Fubo, Sling, WOW!, Armstrong, YouTube live stream, or the Newsmax smartphone APP. Find your cable/streaming provider here: http://nws.mx/tv

Stay up-to-date at https://www.newsmax.com/

Like Newsmax on Facebook: https://www.facebook.com/newsmax/

Follow Newsmax on Twitter: https://twitter.com/newsmax

Follow Newsmax on Instagram: https://www.instagram.com/newsmax/",1,Newsmax TV
46,"Two transgender women took first and second place this year in Connecticut’s indoor track-and-field championship this weekend – and by “transgender women,” I mean two biological guys with testosterone who just stole awards from biological girls.

If you’re looking for the real “War on Women,” this is it.",1,MRCTV
47,"Full Measure with Sharyl Attkisson is television’s most original Sunday news program. The program specializes in fearless reporting on untouchable subjects to bring you stories you won’t see anywhere else. The host is investigative journalist Sharyl Attkisson, five-time Emmy Award winner and recipient of the Edward R. Murrow award for investigative reporting. Attkisson is backed by a team of award winning journalists.

Full Measure investigates topics such as immigration at home and abroad; government waste, fraud and abuse; terrorism and national security; whistleblowers; and government and corporate misdeeds. The program is also home to unique interviews and its regular feature 'Follow the Money'. 

Full Measure is produced by and airs nationally on stations of the Sinclair Broadcast Group. It is available in 43 million households in 79 markets on 162 Sinclair stations, including ABC, CBS, NBC, FOX, CW, MyTV, Univision and Telemundo affiliates. Follow the link to find out when & where to watch in your area. 
http://fullmeasure.news/about#where-to-watch

The program also streams live on all Sinclair websites and at http://fullmeasure.news/ on Sundays at 9:30 a.m. ET.",1,Full Measure with Sharyl Attkisson
48,,1,Project Veritas
49,"On Sept. 27, 1540, the Society of Jesus — a Roman Catholic missionary organization — received its charter from Pope Paul III, and established the Jesuit Order. Today, there are actually 35 craters on the moon named for Jesuit scientists — and more.",1,LifeZette
50,"President Trump speaks at the Conservative Political Action Conference.

FOX News operates the FOX News Channel (FNC), FOX Business Network (FBN), FOX News Radio, FOX News Headlines 24/7, FOXNews.com and the direct-to-consumer streaming service, FOX Nation. FOX News also produces FOX News Sunday on FOX Broadcasting Company and FOX News Edge. A top five-cable network, FNC has been the most watched news channel in the country for 17 consecutive years. According to a 2018 Research Intelligencer study by Brand Keys, FOX News ranks as the second most trusted television brand in the country. Additionally, a Suffolk University/USA Today survey states Fox News is the most trusted source for television news or commentary in the country, while a 2017 Gallup/Knight Foundation survey found that among Americans who could name an objective news source, FOX News is the top-cited outlet. FNC is available in nearly 90 million homes and dominates the cable news landscape while routinely notching the top ten programs in the genre.
 
Subscribe to Fox News!  https://bit.ly/2vBUvAS
Watch more Fox News Video: http://video.foxnews.com
Watch Fox News Channel Live: http://www.foxnewsgo.com/

Watch full episodes of your favorite shows
The Five: http://video.foxnews.com/playlist/longform-the-five/
Special Report with Bret Baier: http://video.foxnews.com/playlist/longform-special-report/
The Story with Martha Maccallum: http://video.foxnews.com/playlist/longform-the-story-with-martha-maccallum/
Tucker Carlson Tonight: http://video.foxnews.com/playlist/longform-tucker-carlson-tonight/
Hannity:  http://video.foxnews.com/playlist/longform-hannity/
The Ingraham Angle: http://video.foxnews.com/playlist/longform-the-ingraham-angle/
Fox News @ Night: http://video.foxnews.com/playlist/longform-fox-news-night/
 
Follow Fox News on Facebook: https://www.facebook.com/FoxNews/
Follow Fox News on Twitter: https://twitter.com/FoxNews/
Follow Fox News on Instagram: https://www.instagram.com/foxnews/om/",1,Fox News
51,"Saturday, October 31, 2020: Join the RSBN crew for live coverage as President Donald J. Trump holds a Make America Great Again rally in Butler, PA at Pittsburgh-Butler Regional Airport.

Donald J. Trump for President, Inc. announced that President Donald J. Trump will deliver remarks on Making America Great Again, Again in Bucks County, Pennsylvania on Saturday, October 31st, 2020 at 1:30 PM EDT, and at Make America Great Again Victory Rallies in Reading, Pennsylvania on Saturday, October 31st at 4:00 PM EDT and in Butler, Pennsylvania on Saturday, October 31st, 2020 at 7:00 PM EDT. The Make America Great Again Victory Rallies will feature remarks from President Donald J. Trump and Republican candidates.

Saturday, October 31, 2020 at 7:00 PM EDT
President Donald J. Trump Delivers Remarks at a Make America Great Again Victory Rally in Butler, Pennsylvania

Pittsburgh-Butler Regional Airport
473 Airport Road
Butler, PA 16002


🔴 Watch LIVE: President Trump Holds Make America Great Again Rally in Butler, PA 10/31/20

🔴  Subscribe to RSBN for more LIVE streams and Breaking NEWS: http://bit.ly/2gDGbkh

🔴  Donate to RSBN and help keep us on the air: http://rsbn.tv/donate

🔴  Follow us on Twitter for breaking news updates: http://twitter.com/RSBNetwork

🔴  Like us on Facebook for more live streams and updates: http://facebook.com/rightsidebroadcasting",1,Right Side Broadcasting Network
52,"Secretary of State Antony Blinken visited Afghanistan on Thursday, but does the diplomatic arrival reveal the region may be unraveling?

For more news, visit our site: https://www.westernjournal.com/

Facebook: https://www.facebook.com/WesternJournal/
Twitter: https://twitter.com/WestJournalism",1,The Western Journal
