,index,text,class_id,website,author
560042,1446540,It’s hard to believe. It’s shocking how much they hate us and want to eliminate us. Don’t vote for your own distraction. These people who run the world are not like US.,1,Fox News,Patricia Cook
437672,742178,"@Who Dis 
Wow really, so the history books are all wrong  nothing happened in 1776",1,Project Veritas,Samuel Adams
150341,374322,"""Oh Wow.....I really don't know what the heck I'm talking about"".",1,Campus Reform,jasona9
517750,22258,"The first thing to be destroyed would be video evidence. Every one that thinks there was no videos (real) of the Pentagon being hit on 9/11, please raise your hand.",1,One America News Network,Stephen Stidham
591718,1253826,Democrats do not deserve to be a part of political mileu.,1,Newsmax TV,Darko Halilovic
1595394,1590749,Freedom of speech has gone completely you have to watch everything you say these days cuz everyone is so easily offended 🤦‍♀️,1,BlazeTV,Jean Davies
581807,929975,It would be racist to hold the black student union to a basic level of respect.,1,Breitbart News,serSafir
2096964,212340,CCP and all its member are criminal.  They have been practicing a norm invented and motivated by their own greediness; the world must take down the regime.,1,The Epoch Times,Mariano Platilla
467512,249906,@TiropitaLiker man his beliefs are lot better than floating on a meaningless rock in eternal darkness,0,The New Yorker,विजय सिंह छोहान
302999,845213,"@Ronnie Myrick They won't, but that's just mainstream news.",1,Breitbart News,Porfle Popnecker
1338297,809220,"@BestKEpt578 
This guy is trolling, so ofcourse he would show the idiots.",1,Project Veritas,SayRay
1779863,308328,"Be careful Bill, you might have some snakes in your organization. I'm a friend, Bill, of your work, shake down whoever you Hire! I'm sure you know. Great you are on First!",1,The First,Daniel Campbell
1164085,1853433,If u got to an map of Co2 concentration u'll find it,0,The Atlantic,João Costa
2200146,1945170,So Hannity ended up being correct... oops.,0,mediamatters4america,Eric L
586405,719941,"I'm glad there's postal workers that are coming forward and refusing to be a part of the fraud. I just wish they'd show their face. I would be pissed off if my bosses asked me to do something illegal too. Not only is it morally wrong and it's betraying your country, but if this gets investigated,  their supervisors and the postmaster will NOT be there to back them up. The frontline employees backdating these postmarks are the ones who will go down.",1,Project Veritas,Paul Mattoon
2191024,1991014,You can't argue with a doctor. Ben Shapiro: Hold my beer.,1,The Daily Wire,teipkep
337094,109463,They changed the requirements to fit their narrative. How is that legal??,1,One America News Network,Dirt Shredder
971369,205465,"Maybe, just maybe, citizens of China will revolt once they are staved and have no jobs. Only then will the CCP will fall.",1,The Epoch Times,Roger Edington
2014919,1448313,@Charles Smith most of them are talentless people who got lucky and they really think they're doing something important by reciting somebody else's script on air.,1,Fox News,Frank Paya
1618826,766200,And yet there are politicians who say there were no problems in the election.,1,Project Veritas,Stan Wiggins
1875201,994402,If you gave hell for christ he gives paradise for you!,1,CBN News,yeboyjayy JV
651897,332204,2020. The year it became sane to be a conspiracy theorist.,1,The First,Ukrainian Lives Matter Remember the Holdomore
2133023,1800572,@Aaron Jacob Yasharal you sound insane tbf,0,The Root,TheStinger 613
364461,1816955,"So much ignorance in these comments, but everything she said was right.",0,The Root,Taylor Haynes
1540796,1901892,Great point. I get the argument that we are omnivores. And that's true. But we dont actually hunt our own meat like carnivores do. We burn forests for it. So really. In essence we do need to go more vege based. Even in zero waste.,0,The Atlantic,Zoe M1
1226228,2126696,Guess who pays that $1.6 trillion? Everyone!,1,The Daily Wire,Kevin Moore
1376342,1654030,Biden had 100% of the elderly vote...from 120 to 150 years old..,1,BlazeTV,Chris
91455,234325,Watching the fall of the republic live really sucks big time.,1,The Epoch Times,Willyone
1917427,1746046,Social media is pushing man in voting hard,1,BlazeTV,D- Sean
1681085,2128099,Really hope Rep. Crenshaw runs for president one day,1,The Daily Wire,Nikk Chandarlis
2091042,2227712,Aaaand SCENE. 🙄😒😑 Good grief. Everyone has to eat but DAMN. Get a new hustle.,0,RWW Blog,Mia DoubleZeroSeven
2138923,338225,You can tell when Biden is lying just look at his lips if they are moving he is lying!,1,The First,matt edwards
882619,203246,Chinese people only think about themselves and are horrible.,1,The Epoch Times,Mark Griessie
844638,151455,"""Its easier to be a fallower than a leader""!

I smell extortion AF!

In my opinion...
Homeschool your children their safer and parent's will see exactly what the state has done to our education system, then maybe parents will rise up & move on...its common sense & really simple.",1,One America News Network,Irma Dominguez
1903875,1470801,I am wondering if this speaks for a clear state of mind....,1,Fox News,I. B.
1642564,647248,UP  HERE IN  CANADA  -  Voters  card in the  Mail -  then  take it  with your  ID  to the  election poll   before you are given  a  paper  ballot .  Full  Proof  almost -  takes a  day to count and to give  the  results  .,1,Project Veritas,BC Stud
2138164,1633174,"*""Poor kids are just as smart as white kids."" - Joe Biden*",1,BlazeTV,Ruben T
2021500,1546437,Fire Donald Dump and all his family cabnitwit's that are not qualified to have the positions he put them into.,1,The Daily Signal,Ronald Mello
1197820,1265694,Everyone with a brain knows he got railroaded,1,Newsmax TV,Tony Joseph
728957,1409369,Kerry is right many of those unions endorsed and voted for this administration: they do need to learn to make better choices.,1,Fox News,Randy de Armas
471308,661176,Why does he get so much power just because he has a web site .,1,Project Veritas,Matthew Scian
1755004,2172723,"She should use her own words. Schooling her comrades , they are breaking the law.",1,The Daily Wire,",Joseph Williams"
34189,1589214,He has late stage dementia. Sad. Why is his family allowing him to run?,1,BlazeTV,Alexandra Shaw
769919,1411911,Police and fire all over the place . Hear them ?,1,Fox News,James Beemer
1636153,750417,Keep in mind only 3% of the population fought in the Revolutionary War and look at the change they made.,1,Project Veritas,chevy6299
297938,1862479,Rick scott should be in jail for his medicare scam,0,The Atlantic,wright gregson
2092791,1923767,"Nails the absurdity of sport specifically, and society more generally. ""

Did you put the ball in the net?"" 
""Yea""
""But did you keep your fedora on?!""",0,The Atlantic,B.K. Laughton
1702884,1185562,It is true they knew what was happening ! Get part 2 of the ladies in the videos stayed behind ##,1,Newsmax TV,Jimmy Eaton
178871,2091798,His voice sounds like a cartoon character. It would be nice if he was a voice for inclusion instead of division.,1,The Daily Wire,jules george
39659,1821519,i cry and become stressed just seeing homework and i have been brainwahsed that without school you can fail in life and become a loser,0,The Atlantic,why so sus
684427,242719,I love princess Diana..her dresses like in fairy tale...and she is very perfect.,0,The New Yorker,Bee Bee
173172,1660754,"@John Sorto you know so little about how federal charges are brought that you are laughable.  When you know anything about law, I will tell you and not until.  Until then, you are dismissed, boy.",1,BlazeTV,Nelson Ward
848078,2198031,"93% of scientists are not atheists, and the number of believers in the scientific community is growing due to the scientific discoveries about the order in the universe and the complexity and specified information necessary of life.",0,RWW Blog,imallpissedoff
322526,785255,The fact he wants to hang up so fast screams guilt to me.,1,Project Veritas,American Patriot
1823583,2167232,Always thought they should check for extra equipment,1,The Daily Wire,Mega Man
1493354,297760,"The dirty tent affectively dance because belief laterally fax amid a available timbale. wistful, tired jail",0,The New Yorker,Gerard Ligonde
659194,372472,"If these clowns knew 1/60th of the true colors of the clintons, they would turn their backs on them.",1,Campus Reform,Jeff Spears
441962,739088,"Wait wait wait wait. So, to be counted, the ballots have to be in the hands of a clerk by Tuesday evening? THEN WHY THE HELL ARE WE GETTING MORE AND MORE BALLOTS IN THE MIDDLE OF THE NIGHT?",1,Project Veritas,Teliopas
83949,374458,Why am I just now finding this channel out?,1,Campus Reform,John Stephenson
351317,30219,"Ian, because we have injustice in our justice system.",1,One America News Network,Steven Thury
2057066,934903,The blatant hypocrisy of the media and the left is disgusting.,1,Breitbart News,Elijah Robinson
867523,231670,Sadly the misdeeds of the government are visited upon the unfortunate citizens.,1,The Epoch Times,Vik Numbers
1310053,755148,There will come a time when people have to start thinking about calling such stuff treason or at least a conspiracy.,1,Project Veritas,Muck006
515440,1611432,So she's clueless because she doesn't know everyone else's schedule? What am I missing?,1,BlazeTV,M J
1348955,1681189,"Jim Jordan is my new Stone Cold Steve Austin. And that's the bottom line, cause Jim Jordan said so!",1,BlazeTV,mopar 1
599822,2060935,Todays  SJW Activists  are children that will never grow up.,1,The Daily Wire,peace2014
573566,2133073,"Arya's too young to be killed?? lol Stannis' daughter, Cercei's daughter! Don't get me started on Rickon...",1,The Daily Wire,Aloysius
2003297,1414655,@xhizors God bless president Trump and the United states of America,1,Fox News,William Adams
220192,1921127,"@i can almost fart my ABCs I'll save you the effort: ""Democratic socialists oppose the Stalinist political system and the Soviet-type economic system, rejecting the perceived authoritarian form of governance and the centralised administrative command economy that took form in the Soviet Union and other Marxist–Leninist states during the 20th century."" I can provide links if need be",0,The Atlantic,Madrigal E
67821,1739479,"The look on Schiff’s face is like, “I know this is stupid, but they’re going to kill my family if I don’t do this”!",1,BlazeTV,Billy Rufrano
1684649,6751,@Beth Kemp sorry  look at the 2000 election,1,One America News Network,Very Interested
1431562,163717,They all need to be in jail for there crimes.,1,One America News Network,Richard Jimenez
49260,1136033,Vincent Trujillo Thank you for watching and supporting !!,0,Daily Kos,SUWBB-#3 Lester
708334,145239,Idaho Republican governor is in trouble for future vote. He acts like a Democrat and we won't forget.,1,One America News Network,Dennis Koyle
618242,2094489,Hit Girl totally agree.... Matrix messed up big time!,1,The Daily Wire,Jose Ledesma
1749543,1336721,LOL SLOW JOE ENJOYIN HIS SHORT LIVED FAKE PRESIDENCY 🤣,1,Newsmax TV,Lanzo Lukepas
927798,2042422,"I have been sexually Harassed by someone who I thought was my friend, but I went straight to the police and reported it. And no, I don’t think the police has done anything because it has been more than 1 year since last contact",1,The Daily Wire,BigKitten ASMR
1482365,235659,THATS SUTUDENT REPORTER IS VERY GOOD..FOR YOUR FUTURE GENERATION,1,The Epoch Times,patrick amago
1486017,1721461,Making broad generalizations and strawmans out of arguments to discredit them is scary,1,BlazeTV,omegadan
104686,1280075,The only thing they are getting from college is a BRAIN WASHING!!!,1,Newsmax TV,sick86stang
872273,615221,That commentator is so biased! Notice how she always interrupts the Vice president but not Harris !,1,Right Side Broadcasting Network,shannon Yep
1250853,1452583,"People exaggerating, this can happen off campus too.  Anywhere",1,Fox News,Eddie Figueroa
1439081,147153,"More like chinse backdoor implanted and real time hacking.  Dominion is CHINESE m
Not canadian",1,One America News Network,hycho8925
533198,2166512,The real problem I see is Serena just took away first Grand slam of Naomi’s career and of her country... Such a worst human being I have ever seen...,1,The Daily Wire,Amarendra Reddy
1978772,1470174,"I had to present my I D card in my precinct and I ve lived in my Iowa town now fo 20 years plus ans am a legal citizen and was native born in Iowa,so what does that say aboit me? I ve been a working class citizen and still help clean up the areas all over town. Clean up America come on Amerca make our land clean and beautiful to inhabit again!",1,Fox News,Shirley Funte
2159334,764088,"Lol did he actually give advice? Here's an advice: ""Don't fkng push propaganda!""",1,Project Veritas,Theo Hallenius
860476,799893,"“There is no amount of money that you could give me to make me settle this case”
 - James O’Keefe 2021

This will be etched on your statue",1,Project Veritas,Mike Hackenschmidt
776485,1313627,"Why are servers in Germany,Italy?? Americans know it’s China!!",1,Newsmax TV,Charlotte Muller
147489,580215,"Thank you RSBN for all your work, i donate always and other show too. You are the only network covering Trump. all media it evil and not saying and making up fake news on Trump.",1,Right Side Broadcasting Network,Quantum-Entanglement in Magneticservices
1610250,515914,"You guys are hurting me! 
You guys are hurting me! 

*dragged off stage*


*intellectual applause*",1,Campus Reform,Five Ish
1790091,1946867,Pat Robertson was hit by a shovel as a child and from there prematurely stricken by alzheimers at the age of six. True story.,0,mediamatters4america,Donger
1412395,601105,"Kayleigh is a Warrior. Thank you, Kayleigh.",1,Right Side Broadcasting Network,Jeffery Maher
2218535,534515,Justice ForAll lol I saw the negative one 1st..,1,Right Side Broadcasting Network,E.k Mwendwa
2084061,973562,God bless you. God used you to wake up your Country. Proud of you dear Sister.,1,CBN News,Donnell Sohkhlet
45183,586943,"Very good President Donald Trump yesterday in Jacksonville, FL, We love President Trump very much, he is the Best President in all of World History, we will win in November, it is the best destiny we can have, the USA will win, the President's Party It is the Party of the All United States of America, no one will be excluded, we are All
TRUMP-PENCE 2020, GOD BLESS USA, MAKE AMERICA GREAT AGAIN 2020
How beautiful that song at the end of the rally is ""YMCA"" by Village People, I like to sing and dance to it",1,Right Side Broadcasting Network,Jorge Sixto Antonio
462066,2015696,Lot of class Ben. Enjoyed that discussion well done.,1,The Daily Wire,Vai Fitz
625046,88425,"@frankensmurf keep telling yourself that, one day you'll get there little buddy",1,One America News Network,John Douglas
535989,162248,Remove the gov if CA he is just as bad former brown,1,One America News Network,Paula Smith
1037407,1808734,"He looks pink, kinda like me, come to think of it I’ve never seen a white person",0,The Root,Dajju Kunrama
1896953,188854,Sadly you're preaching to the converted. This message will never get through to the people who need to hear it.,1,One America News Network,R1552
1307706,336120,Letting anyone who asks me about baseball know I was done after the Opening night BLM spectacle.,1,The First,speed racer
622231,136366,Proud of this young man!!!!!!! Great job MAKING AMERICA GREAT AGAIN!!!!!!!,1,One America News Network,K J
2119821,1826718,2:06 I see but a lot of school in Asia mainly 8 am or 7 am. Mine is about 6:50 am since they change it from 7 am,0,The Atlantic,Theo8176
2177441,500459,"If colleges keep this up, I don’t want my kids going. They can work for the family business. I’ll also homeschool them. How do these people not see that they’re brainwashed? They can’t name any reasons why people are “racist” , they just repeat what they hear from idiots that repeat what THEY heard from other idiots. A viscous cycle.",1,Campus Reform,Kendo Extendo
1741089,1608630,Yep and they still vote Democratic mind blowing,1,BlazeTV,Everything Maintenance
940413,1256199,"Oh my God when you said about DeBlasio being the worst mayor ever in New York, I agree with you 1000% the worst mayor we have ever had here in NY. Totally inadequate and doesn’t know what he’s doing, has ruined New York City.",1,Newsmax TV,petermazbabie
1762540,2160572,"@Not A Piano Key 
Now see what you gone and done? You're speaking words I know and yet it remains a language I don't understand. And yes, I really am laughing--at myself because this is such a great example of how things change so quickly--and now I simply have to ask:
Was that meant as a compliment or insult?
And again, either way, it doesn't matter and crap, now I'm remembering that it was just within the last couple of years that our older daughter, 33, had to explain what she meant when she ended an email with ""Bye, Felicia.""
Felix, you stay safe, be well, and enjoy the day.",1,The Daily Wire,Jack Morgan
934715,1984965,This Eric Weinstein guy is really impressive. Definitely worth keeping an eye on,1,The Daily Wire,• Martin •
622498,1895556,Proud to say I have NEVER shared a single photo of my kids on the internet. They can make that choice for themselves when they’re older.,0,The Atlantic,L J
507567,31286,"Biden is a “crook”...... this is Not what America wants as President!!
WTF are the Dems thinking????",1,One America News Network,Steve Ross
2121041,1005029,"I pity the Turks who are all going to get the ""YAHWEH slap"" on the Mts. Of Israel soon as they attack God""s chosen.  All those fathers husbands and brothers won't be going home again.",1,CBN News,paper.rose
749092,62771,Office of the “kinda almost maybe but probably not the president elect”,1,One America News Network,The Redcorn
1734518,1082620,"Doubt it...back to the farm with you, mr sheep",1,MRCTV,Erik Rudolph
1667846,1646196,"I’m assuming this is an AC/DC song, but if not, which song is this? 😍",1,BlazeTV,MythicBadger 985
1436571,660601,So far 133 people don’t like that this got out.,1,Project Veritas,Chris B
1338818,70004,"Reasoning with the left?  
Massive waste of time.",1,One America News Network,Element of Kindness
1593070,1652879,"Here in Ireland we have Irish dancing, but apparently to these idiots that would be considered racist because it’s from Ireland so I’ll just call it dancing.",1,BlazeTV,Webb
1821915,2120098,I didn't Like this I loved it.I wish you all well.,1,The Daily Wire,Alexandra Azzopardi
1123814,662694,"James o'Keefe and Tom Fitton are ecthed into a american history and will be part of history class one day, mark my words.",1,Project Veritas,Julio Diaz
568026,799102,👏🏼👏🏼👏🏼 Another round of applause Mr. O'Keefe 👏🏼👏🏼👏🏼,1,Project Veritas,Tired of it All
1077021,284511,"he should do this again, but as Frank Reynolds


Edit: He started turning into Frank near the end",0,The New Yorker,RockSleeper
1976826,1213471,"One of the most important things Donald Trump contributed to the world's political landscape is how to fight back, sometimes with amity sometimes with enmity.",1,Newsmax TV,Arvind Karan Mahabirsingh
257866,874611,"My god, the media is so stupid...no wonder why journalism is one of the easiest degrees to acquire.",1,Breitbart News,jeff jackson
1913127,336478,Not sure why you lumped in MLB.  They're ratings are up at the local and regional level.  Baseball kept the social justice politics to a minimum.  They're going to be fine.  The NBA on the other hand....,1,The First,billyman
208867,186710,Dumpty Trumpty    74 and yet he still recovered in two days. Imagine that.,1,One America News Network,Mallari Culp
514126,645544,Robak was paid and sat quietly while the election went on. Sold herself.👊🏼👊🏾,1,Project Veritas,rom s
724943,2092605,Was there a question in there somewhere? That's what I thought,1,The Daily Wire,Ramjet ejmar
1847469,1159025,@chris rogers what in the world has Biden ever accomplished that he  campaigned on? He did get Ukraine to fire the prosecutor that was investigating his crackhead kid but he didn't campaign on that issue...,1,Newsmax TV,bobhilbri
1488278,903737,Start by asking him why he calls himself Jim while his real name is Abilio.,1,Breitbart News,Joy Joy
1848240,419619,This scared the living “You know what out of me!” These are today College something’s (certainly not students)...but what’s really scary is these guys are tomorrow’s Leaders...if as a Country we make it that far. Pray for God’s Mercy! Sad but true!,1,Campus Reform,Sir Wm
1012461,1494160,The owners will just cut their losses and leave the city.,1,Fox News,Michael FromOregon
536016,446181,But people didn’t have a issues wit my what he said apparently it wasn’t a bad thing if they applaud,1,Campus Reform,Maurice B
1090589,624858,"@Change is coming WAKEUP! Be Careful Who You Follow? 
I have to agree with you. 🇺🇸",1,Right Side Broadcasting Network,christine x
98165,45596,Those girls where lucky they didn't knocked out.,1,One America News Network,Ridge
1928153,619918,"For a non-military man, President Trump sure learned to salute well!  Obummer never could or never wanted to!!",1,Right Side Broadcasting Network,C P
1935121,1124364,"Now that is what it's all about , Trump knows his stuff love the man, for standing up for us the real American people",1,MRCTV,Benjamin Gary
386990,679273,"Nicholas Dudich NYT, ""Comey forces me to call him 'godfather' during & after he bends me over a table.""",1,Project Veritas,Kyle M.
1129136,1771773,Joe I think your stroking out! Darn spell check striking out!!🤪,1,BlazeTV,Ruth Haught
1731250,751054,The appearance of impropriety deserves investigation. Period,1,Project Veritas,DD Allgood
2018175,1883596,Check Noble Drew Ali and the Moorish history in America.. It explains it all.,0,The Atlantic,underyourskin
530262,1868315,"ive been hearing this low humming sound on and off for the past 2 months. and its driving me insane. no one else seems to hear it were i live and its only at my home, not were i work 30 miles away.",0,The Atlantic,BH Prototyping
1161298,1294083,We are Deplorables.. And DAMNED PROUD OF IT!!,1,Newsmax TV,Thomas Barnard
1951160,921941,Sebastian Guerrero And don't forget the Larry Sinclair cover-up.,1,Breitbart News,Joe Ortiz
77941,1298474,I wish they would let some independent journalists in that press conference. At least there would be honest questions and respect,1,Newsmax TV,mrdougeran1
211105,1823521,"Beautiful, tomorrow I will hug my mother.",0,The Atlantic,Jacob Turman
1569403,471440,What a coincidence that these politicians also do speeches at colleges and get these enormous checks,1,Campus Reform,Joseph Smyth
1047962,2085367,"@Chaplain Arkanus , the left blames w,hites for everything,  the far-right blames j,ews for everything.",1,The Daily Wire,Hello There
1961598,557122,I screamed like a girl when this happened. I never actually thought I would see these two on stage together.,1,Right Side Broadcasting Network,Algorithm Consultant
610189,1415669,"@Rev. Elizabeth Lopez Yep,  they are quick to criticize Trump but I don't remember their solutions to what Trump is blamed for.",1,Fox News,Ron Hill
457562,2010871,"@soakedbearrd is this a real thing? i am not surprised if it is, but what the hell??

edit: i looked it up, and what the FUCK, no wonder most of the mainstream media is a giant conglomerate mess",1,The Daily Wire,NightKawata
2149156,1826986,"Oh, and don’t forget the big projects you get for homework on the weekends at random intervals, not letting you make any plans for anything on the weekend and still get good grades.",0,The Atlantic,bibasik7
1224602,2228323,Lol 😂 😂 😝 this just cracked my ribs is this a joke or what ?. AJ is is such a lunatic,0,RWW Blog,Kriss Sucre
331064,2022887,"Plen122 you wish you were him bud.  I bet your house scotch is warm PBR

Fuckin loser",1,The Daily Wire,Breonna Taylor’s Puckered Turd Hole
416582,1299485,@Spiceydame another good for Hillary he must have said something he shouldn't have,1,Newsmax TV,Horse Power05
1391862,627871,Do tutto mio supporto a mio precedente Trump 😢😢👌💔🙏🙏🙏🙏🙏🙏 lui non c'entra niente ciò che sta capitando in la società doviamo testarli Vecino per Amore de dio🙏🙏🙏🙏🙏,1,Right Side Broadcasting Network,tania garcia duenas
778767,1189013,Must be living under a rock for the last few years then,1,Newsmax TV,FFD D
532238,260883,Babes & Board Games really you tube it. He says it’s the dems hoax to discredit trump. He dropped the ball plan and simple.,0,The New Yorker,TheBennynyc2
216392,1420828,Didn't Kamala break her marriage vows with the mayor of San Fran?,1,Fox News,indica 777
1363653,1696153,"can anyone in Hollywood think independently!  All this group-think and immediate belief of the mainstream media trying to scare the public has gone way too far.  It's sad actors/icons speak about their politics and idiot ideas and i can no longer enjoy anything they do...thanks Ashton...your proving far less of a person, or at least a much dumber one than i ever expected!",1,BlazeTV,Jay
121616,1144753,Wish Kevin Sorbo returns to main stream Sci Fiction and Fantasy.,1,The Western Journal,asim waheed
2091588,1473473,"""I hate to break it to you but, I'm black"" 
Must have felt so good to say.",1,Fox News,D Lam
1448608,1045321,"The only way to bring costs down is to nationalize insurance, in other words to eliminate the for profit brokers (insurance companies) who add nothing at all to health care but 35% of its cost. 
Single payer isn't a dream, its the only possible solution, like social security. Being the only industrialized country without national health care has been a disaster.",1,CBN News,Jeff Moore
2136603,483313,1:40 that dude in red shirt is a real person. I thought colleges today were 100% automatons pre programmed with 300 offended phrases,1,Campus Reform,Zachary Wheeler
918409,1279987,"I just read that the San Francisco 49ers are filing lawsuits to overturn the results of this years Super Bowl because their fans can’t believe their team is capable of losing, plus it turns out that half the players on the Kansas City Chiefs were dead and therefore ineligible to play!",1,Newsmax TV,Jerry M
1477966,1501350,O.M.G... Funniest and scariest thing I've heard .,1,Fox News,Timothy Robach
1722258,282974,"We got some at SF, like in Training Day's character.",0,The New Yorker,Ceci OJackson
735817,308175,What reality is this? I thought Ole Pinhead was retired. I'm happy to hear that voice again but if I see a comeback tour from Elvis I'm outta here🤣,1,The First,TheSnakeIsSolid
1284590,423075,"If you can't get an ID, I mean legit can't get one, you're probably not legal to vote anyway.  And I bet the last chick got a student ID in under 15 minutes.",1,Campus Reform,OMGDB WhataDB
140477,287415,For years Chinatown restaurants were notorious for how they treated non Chinese when they came to dine in their establishments. Karma is a mofo.,0,The New Yorker,Carter al-Harlem
1867178,2217772,"Poor man gets more addlepated the older he gets. With all that advice about pardoning ""everybody,""  he's confusing Trumpski with JC.",0,RWW Blog,Lallie Hayes
77656,1166971,"“When and honest man discovers he is mistaken – he will either cease being mistaken or cease being honest”
""Never argue with an idiot - They will drag you down to their level and then beat you with experience!""
""A guilty conscience needs no accuser” The Supreme Court must restore confidence in the election process for all Americans!",1,Newsmax TV,Sabiola007Mr
2187301,42753,"I really liked his ""oppolgy"" video, SOB smirking with an arrogant grin he could barely keep a straight face the entire time.",1,One America News Network,Frankie Furface
456409,920585,"""The Picasso of Petty"" complains that his Chinese friends will lose money if he can`t sell the hats made there for him.  just lost the vote in Ohio. And violated the Hatch Act .",1,Breitbart News,Alark Albass
532117,1011960,@Michael C it's the police chief in these counties promoting the 2nd amendment sanctuary cities,1,CBN News,William Goboff
1896990,1143243,There was no one probably on that bus. They were just moving it to a different location.,0,Daily Kos,padraic gallagher
391777,1436358,"Big macs aren't 1,000 calories, they're 500.",1,Fox News,Bane
75072,1442062,"Talking relentlessly, but how many have come home in 4 years?",1,Fox News,Stay here
1508074,378555,"@Zero Ch1ll I did not mention anything about college loans nor did I ask any questions so your comment makes no sense, unless it was directed towards someone else.",1,Campus Reform,☺smylyface☺
159409,1819248,I'm not sure how many in the comments know but it looks like they were separated due to the famous experiment that separated the triplets in the movie that helped Michelle and Alison find each other. A scientist worked with an adoption agency to separate twins and triplets at birth to see how different they grew up in different backgrounds. The results never really got published anyway and it had serious impacts on the people involved. One of the famous triplets eventually committed suicide and it's worried that it was all linked to the separation causing depression. I hope nowadays no one could get away with this because there's probably still lots of siblings separated due to this experiment.,0,The Atlantic,Becky C
2129653,1814817,Juliette Mbatia I am aware that it is not true. That is how she came across in this video.,0,The Root,Tekassassin The Good Loser
245426,1888860,"""One of these candidates is Bill Clinton, and unfortunaly, so is the other.""
🤣🤣🤣🤣🤣",0,The Atlantic,Lucelio Rodrigues
1473808,2127274,"Man, Congressman Crenshaw looks so strikingly like Big Boss.",1,The Daily Wire,H3ro 0f Hyrule
1788983,1808282,I can't believe I can speak freely on this thread,0,The Root,Ben Smith
1589822,2172949,Yeah I rolled my eyes so hard when I heard that! 🙄🤦‍♀️,1,The Daily Wire,V Cat
1477440,1702123,"Glen, I'll admit I left you when I felt you did wrong by Ron Paul, but this is a gift to the American ppl. Credit, where credit is due. Thank You.",1,BlazeTV,Melanie Mackenzie
597190,2202831,Rick cut the education budget and laid off teachers in Texas (fact). The result? Best education system in the nation according to him!!! Wow!!,0,RWW Blog,commentpeindre
2231055,817862,They know he was guilty. The media is in on the scam! Anything to get power is justified for these people.,1,Project Veritas,Matthew Erwin
1780486,1764960,I think we’ve done a great job! I think we’ve done a great job! I think we’ve done a great job! I think we’ve done a great job! I think we’ve done a great job! I think we’ve done a great job!,1,BlazeTV,gp
502027,794909,Such a beautiful frame! You and your team made a great choice!,1,Project Veritas,Sora Ngin
1535826,491405,I am legit scared for our future as a country.,1,Campus Reform,joshualei98
1562413,682092,"Lol YT has view count divided by 7 at least, guaranteed.",1,Project Veritas,Jose
580078,176479,"@Bob AdkinsWrong, all you had to do was search it up on google, and you still couldn't manage that. Also l love the transition you made 
Higher taxes-Removal of freedom
I guess whatever alt-right YouTube channel you watch didn't actually specify what comes in between",1,One America News Network,Eric Mathew
